"Libelle Arabe","Libelle Français","Population municipale (Effectif): Ensemble"
"آيت سدرات السهل الغربية","Ait Sedrate Sahl El-Gharbia","19985"
"أولاد زيان","Oulad Ziyane","19963"
"القصيبة","El Ksiba","19959"
"بني فراسن","Bni Frassen","19869"
"اجنان بويه","Jnane Bouih","19754"
"إمي نولاون","Imi-N'oulaoune","19734"
"اولماس","Oulmes","19578"
"تامري","Tamri","19561"
"أولوز","Aoulouz","19532"
"اونان","Iounane","19494"
"لكفيفات","Lagfifat","19455"
"البروج","El Borouj","19434"
"جذور","Jdour","19390"
"تامكروت","Tamegroute","19200"
"سيدي عيسى بن سليمان","Sidi Aissa Ben Slimane","19161"
"أكوراي","Agourai","19158"
"ارميلات","Rmilat","19117"
"رأس العين","Ras El Ain","19088"
"آيت ولال","Ait Ouallal","19079"
"عين تيزغة","Ain Tizgha","19062"
"العوامة","Laaouama","19052"
"بوغريبة","Boughriba","19012"
"لعطاطرة","Laatatra","18928"
"سيدي يعقوب","Sidi Yacoub","18868"
"تالسينت","Talsint","18806"
"آيت السبع لجروف","Ait Sebaa Lajrouf","18701"
"أوطاط الحاج","Outat El Haj","18691"
"الحوافات","Al Haouafate","18528"
"أولاد سي بوحيى","Oulad Si Bouhya","18527"
"رباط الخير","Ribate El Kheir","18468"
"آيت ماجدن","Ait Majden","18448"
"طاطا","Tata","18359"
"زرقطن","Zerkten","18295"
"الساحل","Sahel","18236"
"الخنك","Lkheng","18219"
"ملوسة","Malloussa","18188"
"اصعادلا","Saadla","18134"
"آيت تمليل","Ait Tamlil","18088"
"لغنيميين","Laghnimyine","18081"
"لمراسلة","Lamrasla","17997"
"أهل انكاد","Ahl Angad","17943"
"سيدي رضوان","Sidi Redouane","17903"
"سيدي جابر","Sidi Jaber","17901"
"سيدي أحمد أو عمر","Sidi Ahmed Ou Amar","17898"
"ريصانة الجنوبية","Rissana Janoubia","17878"
"ماسة","Massa","17854"
"آيت إسحاق","Ait Ishaq","17841"
"اساكن","Issaguen","17832"
"أكفاي","Agafay","17769"
"قلعة مكونة","Kalâat M'gouna","17737"
"اكنيون","Ikniouen","17707"
"سيدي موسى الحمري","Sidi Moussa Lhamri","17661"
"أولاد ازباير","Oulad Zbair","17558"
"لعونات","Laaounate","17485"
"شرفاء مدغرة","Chorfa M'daghra","17483"
"دار الشافعي","Dar Chaffai","17408"
"باب مرزوقة","Bab Marzouka","17322"
"آيت إيعزة","Ait Iaaza","17289"
"الكنتور","El Gantour","17270"
"ادويران","Douirane","17254"
"ملعب","Melaab","17229"
"أنجرة","Anjra","17214"
"سيدي التيجي","Sidi Ettiji","17197"
"قصر بجير","Ksar Bjir","17182"
"سيد الزوين","Sid Zouine","17128"
"لمجاعرة","Lamjaara","17088"
"بني تدجيت","Bni Tadjite","17087"
"سيدي امحمد بن لحسن","Sidi M'hamed Ben Lahcen","16980"
"آيت يعزم","Ait Yaazem","16912"
"بوفكران","Boufakrane","16890"
"تمازوزت","Tamazouzte","16885"
"زيرارة","Zirara","16829"
"بني هلال","Bni Hilal","16765"
"خط ازكان","Khatazakane","16691"
"كتامة","Ketama","16688"
"بني منصور","Bni Mansour","16660"
"عين الجوهرة-سيدي بوخلخال","Ain Johra-Sidi Boukhalkhal","16644"
"امطالسة","Mtalssa","16594"
"القصر الصغير","Ksar Sghir","16559"
"انزو","Anzou","16554"
"بني رزين","Bni Rzine","16539"
"سيدي لامين","Sidi Lamine","16501"
"أركمان","Arekmane","16460"
"اولاد سلمان","Ouled Salmane","16457"
"سيدي المخفي","Sidi El Makhfi","16441"
"تاكلفت","Tagleft","16410"
"الغوازي","Rhouazi","16404"
"واد الجديدة","Oued Jdida","16379"
"تبانت","Tabant","16377"
"بوعروس","Bouarouss","16329"
"راس عين الرحامنة","Ras Ain Rhamna","16327"
"مكرس","Mogress","16260"
"بني زولي","Bni Zoli","16240"
"الصهريج","Assahrij","16223"
"سيدي بولخلف","Sidi Boulkhalf","16220"
"فم أودي","Foum Oudi","16162"
"سوق الخميس دادس","Souk Lakhmis Dades","16154"
"أغبال","Aghbal","16081"
"تحناوت","Tahannaout","16017"
"أقرمود","Aquermoud","15981"
"بويزكارن","Bouizakarne","15953"
"كرامة","Gourrama","15935"
"اجبابرة","Jbabra","15904"
"بني بوزرة","Bni Bouzra","15888"
"أولاد عبدون","Oulad Abdoune","15860"
"أحفير","Ahfir","15857"
"لمعاشات","Lamaachate","15826"
"تيغسالين","Tighassaline","15787"
"لمشرك","Lmechrek","15770"
"بوكدرة","Bouguedra","15706"
"أولاد دحو","Oulad Dahou","15697"
"مليلة","Mellila","15690"
"ترناتة","Ternata","15670"
"إيحدادن","Ihaddadene","15667"
"تغزوت نايت عطى","Taghzoute N'ait Atta","15654"
"الدريوش","Driouch","15653"
"صخور الرحامنة","Skhour Rhamna","15557"
"صباح","Sabbah","15551"
"كدية بني دغوغ","Koudiat Bni Dghough","15512"
"عين بني مطهر","Ain Bni Mathar","15487"
"البحراويين","Al Bahraoyine","15457"
"مجمع الطلبة","Majmaa Tolba","15446"
"آسا","Assa","15430"
"آيت سدرات السهل الشرقية","Ait Sedrate Sahl Charkia","15420"
"قصبة بن مشيش","Kasbat Ben Mchich","15374"
"مول البركي","Moul El Bergui","15355"
