"Libelle Arabe","Libelle Français","Population municipale (Effectif): Ensemble"
"زاوية أحنصال","Zaouiat Ahansal","11255"
"الشويحية","Chouihia","11249"
"سيدي العابد","Sidi El Abed","11240"
"قرية بن عودة","Kariat Ben Aouda","11238"
"إيعزانن","Iaazzanene","11186"
"أكدز","Agdz","11180"
"اهديل","Ahdil","11130"
"آيت هاني","Ait Hani","11120"
"امليل","Imlil","11118"
"الرماني","Rommani","11114"
"سبت سايس","Sebt Saiss","11051"
"منيع","Mniaa","11048"
"سيدي امحمد اخديم","Sidi M'hamed Akhdim","11038"
"عين البيضاء","Ain Bida","11018"
"إيكودار امنابها","Igoudar Mnabha","10956"
"تمزموط","Tamezmoute","10950"
"مزم صنهاجة","M'zem Sanhaja","10945"
"بني درار","Bni Drar","10906"
"تفني","Tifni","10906"
"اسطيحة","Steha","10896"
"واد امليل","Ouad Amlil","10896"
"أولاد عبو","Oulad Abbou","10894"
"إمندونيت","Imindounit","10890"
"الواد","Al Oued","10875"
"الملاليين","Mallalienne","10874"
"تنانت","Tanant","10872"
"لوناسدة","Lounasda","10866"
"الكرعاني","El Gouraani","10859"
"لحساسنة","Lahsasna","10854"
"المعازيز","Maaziz","10812"
"بني احمد الشرقية","Bni Ahmed Cherqia","10800"
"أولاد داود","Oulad Daoud","10800"
"بني لنث","Bni Lent","10798"
"واركي","Ouargui","10786"
"سيدي بورجا","Sidi Borja","10736"
"جاقمة","Jaqma","10733"
"فرايطة","Fraita","10721"
"الخنافيف","Lakhnafif","10706"
"بوعنان","Bouanane","10701"
"الجعافرة","Jaafra","10689"
"أولاد يحيى لكراير","Oulad Yahia Lagraire","10686"
"كماسة","Gmassa","10674"
"أهل وادزا","Ahl Oued Za","10672"
"اغبالو انكردوس","Aghbalou-N'kerdous","10672"
"مرشوش","Marchouch","10663"
"بني احمد الغربية","Bni Ahmed Gharbia","10623"
"سيدي اليمني","Sidi Lyamani","10615"
"سيدي لعروسي","Sidi Laaroussi","10604"
"عين لكدح","Ain Legdah","10597"
"اجبيل","Jbiel","10593"
"العركوب","El Argoub","10558"
"الفيض","El Faid","10553"
"بني صالح","Bni Salah","10535"
"آيت زينب","Ait Zineb","10529"
"إيتزر","Itzer","10513"
"سيدي محمد بن رحال","Sidi Mohammed Ben Rahal","10511"
"لقراقرة","Laqraqra","10492"
"أبادو","Abadou","10482"
"القصابي-ملوية","Ksabi-Moulouya","10471"
"بني سعيد","Bni Said","10465"
"بني مطهر","Bni Mathar","10463"
"شهدة","Chahda","10449"
"لمصابح","Lamsabih","10443"
"موحى أوحمو الزياني","Moha Ou Hammou Zayani","10443"
"السعيدية","Saidia","10440"
"عين السبيت","Ain Sbit","10425"
"بني شكدال","Bni Chegdale","10413"
"تيناست","Tainaste","10407"
"اتوابت","Atouabet","10378"
"آيت اكاس","Ait Igas","10378"
"سلفات","Selfat","10366"
"عين بيضاء","Ain Beida","10359"
"متيوة","M'tioua","10325"
"إفران أطلس الصغير","Ifrane Atlas Saghir","10315"
"إمي مقورن","Imi-Mqourn","10312"
"اشبانات","Chbanate","10303"
"أغبالو","Aghbalou","10294"
"فناسة باب الحيط","Fennassa Bab El Hit","10285"
"الجوالة","Jouala","10280"
"واد إفران","Oued Ifrane","10266"
"سيدي رحال","Sidi Rahal","10258"
"تاونزة","Taounza","10254"
"كندر سيدي اخيار","Kandar Sidi Khiar","10254"
"زكوطة","Zaggota","10245"
"توندوت","Toundoute","10174"
"دار بني قريش","Dar Bni Karrich","10115"
"بوازمو","Bou-Azmou","10097"
"بوشفاعة","Bouchfaa","10093"
"تكريكرة","Tigrigra","10085"
"سيدي إسحاق","Sidi Ishaq","10055"
"جوامعة","Jouamaa","10036"
"مولاي إدريس زرهون","My Idriss Zerhoun","10033"
"تمكرت","Tamaguert","10022"
"طرفاية","Tarfaya","10020"
"تكاط","Takate","9993"
"بوزروال","Bouzeroual","9972"
"لعامرية","Laamria","9953"
"سيدي وساي","Sidi Ouassay","9939"
"سيدي بوطيب","Sidi Boutayeb","9936"
"تيوغزة","Tioughza","9927"
"اغبالو أقورار","Aghbalou Aqorar","9920"
"فجيج","Figuig","9903"
"اثنين أكلو","Tnine Aglou","9863"
"بوابوض","Bouabout","9823"
"شعيبات","Chaibate","9821"
"أولاد عياد","Oulad Ayyad","9763"
"سيدي احمد الخدير","Sidi Ahmed El Khadir","9731"
"مير اللفت","Mirleft","9731"
"حطان","Hattane","9727"
"بوكركوح","Bouguargouh","9718"
"الحمام","El Hammam","9697"
"سيدي بوصبر","Sidi Bousber","9671"
"أهل مربع","Hel Merbaa","9660"
"أولاد املول","Oulad Imloul","9659"
"أولاد سيدي علي بن يوسف","Oulad Sidi Ali Ben Youssef","9641"
"سيدي الحطاب","Sidi El Hattab","9638"
"بني افتح","Bni Ftah","9632"
"بوجديان","Boujedyane","9623"
"امسكروض","Amskroud","9617"
"أولاد يحيى لوطا","Oulad Yahya Louta","9612"
"بوشان","Bouchane","9591"
"الطلوح","Tlauh","9586"
"سيدي عيسى","Sidi Aissa","9527"
"تنجداد","Tinejdad","9525"
"الروحا","Errouha","9519"
"أولاد شبانة","Oulad Chbana","9513"
"الكريمات","Korimate","9476"
"سيدي المكي","Sidi El Mekki","9473"
"لمحرة","Lamharra","9469"
"المربوح","El Marbouh","9468"
"سيدي عبد الله","Sidi Abdellah","9447"
"حد الدرا","Had Dra","9435"
"السكامنة","Sgamna","9427"
"مقريصات","Moqrissat","9413"
"أولاد ميمون","Oulad Mimoun","9398"
"آيت أوريبل","Ait Ouribel","9375"
"فم الجمعة","Foum Jemaa","9371"
"تاولوكلت","Taouloukoult","9360"
"مولاي احمد الشريف","Moulay Ahmed Cherif","9357"
"ارفالة","Rfala","9352"
"تزطوطين","Tiztoutine","9348"
"الزراردة","Zrarda","9339"
"مشرع بن عبو","Machraa Ben Abbou","9331"
"زاوية سيدي بنحمدون","Zaouiat Sidi Ben Hamdoun","9315"
"العثامنة","Laatamna","9312"
"تغرامت","Taghramt","9305"
"العنوصر","Laanoussar","9285"
"بني فغلوم","Bni Faghloum","9260"
"مطران","Metrane","9199"
"سيدي واعزيز","Sidi Ouaaziz","9195"
"تغبالت","Taghbalte","9176"
"أولاد خلوف","Oulad Khallouf","9172"
"إملشيل","Imilchil","9159"
"الواد لخضر","Louad Lakhdar","9124"
"موالين الواد","Moualine El Oued","9117"
"أولاد امحمد","Ouled M'hamed","9081"
"تامدة","Tamda","9043"
"تغجيجت","Taghjijt","9033"
"تيداس","Tiddas","9013"
"وليلي","Oualili","9008"
"افريجة","Freija","9004"
"الطاوس","Et-Taous","9001"
"عين اللوح","Ain Leuh","8985"
"أولاد عزوز","Oulad Azzouz","8983"
"سيدي الذهبي","Sidi Dahbi","8972"
"بني وليد","Bni Oulid","8966"
"بئر طم طم","Bir Tam-Tam","8954"
"بني يخلف","Bni Ykhlef","8928"
"بني بوشيبت","Bni Bouchibet","8909"
"أوفوس","Aoufous","8886"
"آيت واسيف","Ait Ouassif","8885"
"سميمو","Smimou","8883"
"بونعمان","Bounaamane","8880"
"لمباركيين","Lambarkiyne","8863"
"واو مانة","Ouaoumana","8850"
"آيت هادي","Ait Hadi","8844"
"ابريكشة","Brikcha","8777"
"امطل","M'tal","8773"
"تسينت","Tissint","8773"
"أولاد سعيد","Oulad Said","8742"
"السحتريين","Sahtryine","8733"
"آيت عادل","Ait Aadel","8724"
"أربعاء الساحل","Arbaa Sahel","8709"
"إقدار","Iqaddar","8705"
"عين الزهرة","Ain Zohra","8704"
"سوق القديم","Souk Kdim","8699"
"امسمرير","M'semrir","8686"
"امرزكان","Amerzgane","8683"
"ادلسان","Idelsane","8680"
"لهري","Lehri","8669"
"تطفت","Tatoft","8657"
"آيت تكلا","Ait Taguella","8656"
"أجدير","Ajdir","8638"
"سيدي بوزيد الركراكي","Sidi Bouzid Arragragui","8622"
"العامرية","El Aamria","8614"
"أكليم","Aklim","8613"
"قصبة الطرش","Kasbat Troch","8612"
"زعرورة","Zaaroura","8611"
"عين معطوف","Ain Maatouf","8607"
"آيت ميلك","Ait Milk","8603"
"السفلات","Es-Sfalat","8586"
"سروا","Siroua","8584"
"سيدي موسى","Sidi Moussa","8581"
"امتار","Amtar","8568"
"أوطا بوعبان","Outabouabane","8558"
"أحد كورت","Had Kourt","8554"
"تبقال","Toubkal","8536"
"بوحلو","Bouhlou","8503"
"إغزران","Irhzrane","8498"
"الشطيبة","Chtaiba","8480"
"كدانة","Gdana","8462"
"سيدي بوتميم","Sidi Boutmim","8460"
"عين الضربان-لحلاف","Ain Dorbane-Lahlaf","8451"
"دار الكبداني","Dar El Kebdani","8444"
"بني سنوس","Bni Snous","8432"
"امزورة","Mzoura","8424"
"رياح","Riah","8420"
"بني بوفراح","Bni Boufrah","8387"
"اتسافت","Tsaft","8377"
"للا تكركوست","Lalla Takarkoust","8368"
"المغاصيين","Mrhassiyine","8352"
"سيدي غانم","Sidi Ghanem","8345"
"بن معاشو","Ben Maachou","8338"
"سيدي بوالسحاب","Sidi Boushab","8335"
"الرميلة","Ermila","8333"
"سكورة-مداز","Skoura M'daz","8297"
"لكفاف","Lagfaf","8290"
"تازناخت","Taznakht","8265"
"بني كيل","Bni Guil","8249"
"الوكوم","Allougoum","8248"
"كطيطير","Gteter","8217"
"الزينات","Zinat","8214"
"ريما","Rima","8203"
"مساسة","Messassa","8195"
"تفرسيت","Tafersit","8194"
"بني سيدال الجبل","Bni Sidel Jbel","8194"
"آيت إيكو","Ait Ikkou","8179"
"سمكت","Semguet","8167"
"أولاد بوغادي","Oulad Boughadi","8146"
"اكزناية الجنوبية","Gzenaya Al Janoubia","8125"
"عليين","Allyene","8109"
"آيت احكيم-آيت ازيد","Ait Hkim-Ait Yzid","8104"
"تنقوب","Tanaqoub","8097"
"بومريم","Boumerieme","8063"
"سنادة","Senada","8059"
"آيت الطالب","Ait Taleb","8058"
"أساكي","Assaki","8046"
"فم زكيد","Foum Zguid","8044"
"سيدي غانم","Sidi Ghanem","8039"
"أولاد مراح","Oulad M'rah","8024"
"سبت آيت رحو","Sebt Ait Rahou","8018"
"ملك الويدان","Melg El Ouidane","8009"
"امهاجر","M'hajer","8008"
"تلمبوط","Talambote","8007"
"أسيف المال","Assif El Mal","8002"
"فزواطة","Fezouata","8001"
"بودينار","Boudinar","7994"
"انجيل","Enjil","7982"
"سيدي امحمد الشلح","Sidi M'hamed Chelh","7977"
"أوزيوة","Ouzioua","7977"
"بوتفردة","Boutferda","7952"
"إكيدي","Iguidi","7949"
"إسلي","Isly","7933"
"مريزيك","Mrizigue","7926"
"سيدي أحمد الشريف","Sidi Ahmed Cherif","7913"
"آيت بورزوين","Ait Bourzouine","7906"
"سيدي المخفي","Sidi Mokhfi","7896"
"أولاد الشريف","Oulad Chrif","7882"
"سيدي الحاج امحمد","Sidi Haj M'hamed","7880"
"سكورة الحدرة","Skoura Lhadra","7877"
"جحجوح","Jahjouh","7865"
"آيت أم البخت","Ait Oum El Bekht","7863"
"أرزن","Arazane","7832"
"دار الكداري","Dar Gueddari","7826"
"أم الربيع","Oum Rabia","7821"
"واد الجمعة","Oued Jemaa","7804"
"امسيلة","Msila","7799"
"أولاد حسون حمري","Oulad Hassoune Hamri","7792"
"الدير","Eddir","7767"
"النقوب","N'kob","7742"
"بني اكميل","Bni Gmil","7741"
"مولاي عبد القادر","Moulay Abdelkader","7740"
"إيكسان","Iksane","7731"
"أولاد الكرن","Oulad El Garne","7722"
"آيت ابلال","Ait Blal","7722"
"النكور","Nekkour","7720"
"مزراوة","Mezraoua","7711"
"العرجان","El Orjane","7706"
"سيدي احمد بنعيسى","Sidi Ahmed Benaissa","7685"
"سيدي بولعلام","Sidi Boulaalam","7681"
"نزالة بني عمار","N'zalat Bni Amar","7669"
"ويركان","Ouirgane","7663"
"سيدي الغندور","Sidi El Rhandour","7644"
"عين الحجر","Ain Lehjer","7643"
"باب تيوكا","Bab Tiouka","7626"
"صدينة","Saddina","7619"
"إيدا وعزا","Ida Ou Aazza","7604"
"سيدي بطاش","Sidi Bettache","7592"
"مولاي بوعزة","Moulay Bouazza","7588"
"بني احمد اموكزان","Bni Ahmed Imoukzan","7580"
"سيدي عيسى الركراكي","Sidi Aissa Regragui","7567"
"أفرا","Afra","7554"
"إدا وكماض","Ida-Ougoummad","7543"
"الزريزر","Zrizer","7539"
"رأس الماء","Ras-El-Ma","7524"
"للا عزيزة","Lalla Aaziza","7512"
"مكارطو","M'garto","7508"
"أكادير ملول","Agadir Melloul","7504"
"امزيزل","M'zizel","7502"
"أهل الرمل","Ahl Ramel","7496"
"أولاد صباح","Ouled Cebbah","7489"
"البسابسا","El Bsabsa","7476"
"آيت قمرة","Ait Kamra","7461"
"لخزازرة","Lakhzazra","7455"
"عين لحصن","Ain Lahsan","7450"
"حاسي بركان","Hassi-Berkane","7448"
"زاكموزن","Zagmouzen","7398"
"ثكنة","Tekna","7396"
"الصميعة","Smia","7385"
"ودكة","Oudka","7379"
"تابية","Tabia","7354"
"تفتاشت","Tafetachte","7342"
"بني عروس","Bni Arouss","7333"
"خزامة","Khouzama","7321"
"أحد بوحسوسن","Had Bouhssoussen","7303"
"زاوية بن احميدة","Zaouiat Ben Hmida","7302"
"سبت الزينات","Sebt Azzinate","7263"
"ازنادة","Znada","7230"
"آيت ازدك","Ait Izdeg","7230"
"أفلا إيسن","Afalla Issen","7221"
"بني جميل مكصولين","Bni Gmil Maksouline","7214"
"آيت حمو","Ait Hammou","7188"
"أولاد الشرقي","Oulad Cherki","7185"
"غسات","Ghassate","7158"
"المنزه","El Menzeh","7143"
"الصباب","Assebbab","7136"
"ثلاث نيعقوب","Talat N'yaaqoub","7134"
"إيمي نتليت","Imi-N'tlit","7123"
"غفساي","Rhafsai","7117"
"امسوان","Imsouane","7096"
"أولاد مومنة","Oulad Moumna","7092"
"مزكيطة","Mezguita","7084"
"بيزضاض","Bizdad","7077"
"واد النعناع","Oued Naanaa","7075"
"الصفاصيف","Sfassif","7071"
"تاويالت","Taouyalte","7069"
"آيت ميمون","Ait Mimoune","7063"
"اداسيل","Adassil","7059"
"سيدي عبد المومن","Sidi Abdelmoumen","7055"
"كاف الغار","Kaf El Ghar","7054"
"أوناين","Ouneine","7042"
"وردانة","Ouardana","7030"
"لحوازة","Lahouaza","7018"
"أولاد عمرو","Oulad Aamer","6996"
"بورد","Bourd","6996"
"امرابطن","Imrabten","6982"
"تالوين","Taliouine","6969"
"البراكسة","Braksa","6948"
"الدشرة","Eddachra","6929"
"عياشة","Ayacha","6925"
"تاسيفت","Tassift","6924"
"أولاد فنان","Oulad Fennane","6912"
"سيدي يحيى أوساعد","Sidi Yahya Ou Saad","6911"
"لكناديز","Lagnadiz","6905"
"إيمولاس","Imoulass","6889"
"اغريس السفلي","Gheris Es-Soufli","6877"
"سيدي علال المصدر","Sidi Allal Lamsadder","6875"
"تزمورت","Tazemmourt","6856"
"تيموليلت","Timoulilt","6852"
"بني بويفرور","Bni Bouifrour","6844"
"ارواضي","Rouadi","6838"
"اسول","Assoul","6825"
"خميس سيدي يحيى","Khemis Sidi Yahya","6821"
"أسكاون","Askaouen","6813"
"كروشن","Kerrouchen","6794"
"أولاد يعكوب","Oulad Yaacoub","6791"
"بركين","Barkine","6785"
"أكلمام أزكزا","Aguelmam Azegza","6779"
"سيدي لحسن","Sidi Lahsen","6776"
"تمزكدوين","Timezgadiouine","6776"
"اطياميم","Atiamim","6774"
"مغراوة","Maghraoua","6771"
"اوتربات","Outerbat","6763"
"فيفي","Fifi","6762"
"بولمان","Boulemane","6759"
"سيدي علي لبراحلة","Sidi Ali Labrahla","6718"
"راس إيجيري","Ras Ijerri","6707"
"سيدي احساين","Sidi Hsaine","6706"
"بن صميم","Ben Smim","6704"
"لكدادرة","Lagdadra","6699"
"أفلاندرا","Afella N'dra","6657"
"أولاد امطاع","Oulad Mtaa","6638"
"برارحة","Brarha","6625"
"بني وال","Bni Oual","6623"
"تافراوتن","Tafraouten","6604"
"عين تمكناي","Ain Timguenai","6598"
"سيدي عبد الله البوشواري","Sidi Abdallah El Bouchouari","6577"
"مولاي عبد الكريم","Moulay Abdelkrim","6557"
"أولاد زيدان","Ouled Zidane","6554"
"معتركة","Maatarka","6552"
"السيفا","Es-Sifa","6531"
"أولاد صبيح","Oulad Sbih","6512"
"اكليف","Aglif","6499"
"بني بونصار","Bni Bounsar","6495"
"امرامر","M'ramer","6488"
"مجي","Mejji","6479"
"لغدير","Laghdir","6454"
"بني حرشن","Bni Harchen","6423"
"بوابوض امدلان","Bouabout Amdlane","6405"
"تقي","Tiqqi","6378"
"تاركانت","Targante","6358"
"ازمورن","Izemmouren","6345"
"السعيدات","Saidate","6330"
"بوروس","Bourrous","6316"
"أولاد بوعلي الواد","Oulad Bouali Loued","6289"
"نفيفة","Nfifa","6281"
"وادي المخازن","Oued El Makhazine","6264"
"بغاغزة","Bghaghza","6238"
"بني خالد","Bni Khaled","6231"
"اديس","Adis","6227"
"امزفرون","Mzefroune","6226"
"أولاد امسبل","Oulad Msabbel","6210"
"ازكور","Azgour","6207"
"دار أم السلطان","Dar Oum Soltane","6184"
"دار الجامع","Dar Jamaa","6184"
"سيدي علي بورقبة","Sidi Ali Bourakba","6162"
"مسكورة","Meskoura","6159"
"كتاوة","Ktaoua","6157"
"الربع الفوقي","Rbaa El Fouki","6156"
"ميكس","Mikkes","6145"
"سيدي عبد الخالق","Sidi Abdelkhaleq","6141"
"مزكيتام","Mazguitam","6131"
"عزابة","Azzaba","6128"
"امحاميد الغزلان","M'hamid El Ghizlane","6121"
"تنزرت","Tinzart","6116"
"تافراوت","Tafraout","6113"
"سيدي علي الكراتي","Sidi Ali El Korati","6099"
"الفقرا أولاد عمرو","Foqra Oulad Aameur","6093"
"تنشرفي","Tancherfi","6092"
"أنزي","Anzi","6089"
"أولاد عراض","Oulad Aarrad","6065"
"سيدي عبد الجليل","Sidi Abdeljalil","6054"
"حودران","Houderrane","6047"
"سبت النابور","Sebt Ennabour","6047"
"أقا إيغان","Akka-Ighane","6043"
"إدا وكيلال","Ida Ou Gailal","6036"
"آيت سعيد","Ait Said","6027"
"أمرصيد","Amersid","6021"
"راس تابودة","Ras Tabouda","6018"
"تاديغوست","Tadighoust","6016"
"سي احساين بن عبد الرحمان","Si Hsaien Ben Abderrahmane","6014"
"آيت باها","Ait Baha","6007"
"المعدر الكبير","El Maader El Kabir","6002"
"الطايفة","Taifa","5994"
"بني ونجل تافراوت","Bni Ounjel Tafraout","5990"
"تسوسفي","Tassousfi","5988"
"أولاد بوساكن","Oulad Boussaken","5962"
"الكوزات","El Gouzate","5942"
"كشولة","Kechoula","5934"
"أسايس","Assaisse","5934"
"أمغراس","Amghras","5919"
"العطاوية الشعيبية","Laattaouia Ech-Chaibia","5909"
"أولاد عامر","Oulad Amer","5871"
"أولاد امكودو","Oulad Mkoudou","5871"
"آيت نعمان","Ait Naamane","5857"
"البيبان","El Bibane","5853"
"تغيرت","Tighirt","5837"
"سيدي بدهاج","Sidi Badhaj","5835"
"إدا ومومن","Ida Ou Moumen","5833"
"الزاويت","Ezzaouite","5818"
"تازوطة","Tazouta","5802"
"فزوان","Fezouane","5777"
"اترايبة","Traiba","5773"
"لولاد","Loulad","5771"
"قصبة سيدي عبد الله بن مبارك","Kasbat Sidi Abdellah Ben M'barek","5767"
"أولاد أمغار","Oulad Amghar","5755"
"سيدي حرازم","Sidi Harazem","5738"
"تسقي","Tisqi","5734"
"سيدي بوبكر","Sidi Boubker","5728"
"كنفودة","Guenfouda","5709"
"وادي النعام","Oued Naam","5707"
"اشمرارن","Ichamraren","5705"
"تافنكولت","Tafingoult","5669"
"آيت الفرسي","Ait El Farsi","5653"
"اجوكاك","Ijoukak","5633"
"بئر مزوي","Bir Mezoui","5617"
"أجدير","Ajdir","5608"
"مولاي بوزرقطون","Moulay Bouzarqtoune","5608"
"تيسراس","Tisrasse","5608"
"سيدي امحمد دليل","Sidi M'hamed Dalil","5605"
"زرقت","Zarkt","5601"
"الأخصاص","Lakhsas","5599"
"الشكران","Chougrane","5590"
"تمليلت","Timlilt","5582"
"بني عمارت","Bni Ammart","5580"
"أقا","Akka","5575"
"المعادنة","Maadna","5570"
"سيدي الجزولي","Sidi El Jazouli","5554"
"بني زرنتل","Bni Zrantel","5533"
"تيغمي","Tighmi","5478"
"أولاد علي الطوالع","Oulad Ali Toualaa","5475"
"مصيسي","M'ssici","5455"
"تازروت","Tazroute","5448"
"تيزي وسلي","Tizi Ouasli","5434"
"ويزغت","Ouizeght","5430"
"بني ابشير","Bni Bchir","5401"
"أولاد بوعلي النواجة","Oulad Bouali Nouaja","5393"
"اكرض","Aguerd","5370"
"المواريد","Mouarid","5316"
"ناوور","Naour","5303"
"اجرمواس","Ijermaouas","5301"
"مستكمر","Mestegmer","5291"
"وزكيتة","Ouazguita","5269"
"بني سيدال لوطا","Bni Sidel Louta","5264"
"خميس القصيبة","Khmis Ksiba","5249"
"زاوية سيدي حمزة","Zaouiat Sidi Hamza","5248"
"الحنشان","El Hanchane","5239"
"تالكجونت","Talgjount","5234"
"سيدي احمد السايح","Sidi Ahmed Essayeh","5233"
"آيت سدرات الجبل السفلى","Ait Sedrate Jebel Soufla","5228"
"توزينت","Taouzint","5217"
"طهر السوق","Thar Es-Souk","5216"
"أهل تفنوت","Ahl Tifnoute","5196"
"مكناسة الشرقية","Meknassa Acharqia","5187"
"تزكين","Tizguine","5179"
"آيت حدو يوسف","Ait Haddou Youssef","5174"
"آيت علي أولحسن","Ait Ali Ou Lahcen","5139"
"أنمزي","Anemzi","5134"
"اخميسات الشاوية","Khemisset Chaouia","5103"
"إيدا وكلول","Ida Ou Guelloul","5086"
"تودغى العليا","Toudgha El Oulia","5084"
"المخاليف","M'khalif","5062"
"جمعة مول البلاد","Jemaat Moul Blad","5051"
"توغمرت","Toughmart","5035"
"إروهالن","Irohalen","5031"
"الساحل الشمالي","Sahel Chamali","5028"
"بني ليت","Bni Leit","5004"
"تفضنة","Tafedna","4999"
"تمنارت","Tamanarte","4996"
"بونرار","Bounrar","4995"
"آيت سدرات الجبل العليا","Ait Sedrate Jbel El Oulia","4978"
"إميلمايس","Imilmaiss","4967"
"آيت وادريم","Ait Ouadrim","4951"
"بني مرغنين","Bni Marghnine","4950"
"تمزكدة أوفتاس","Timzguida-Ouftas","4946"
"المفاسيس","M'fassis","4937"
"لحسينات","Lahsinate","4932"
"واد البور","Ouad L'bour","4906"
"المرس","El Mers","4887"
"سيدي امبارك","Sidi M'bark","4886"
"سيدي كاوكي","Sidi Kaouki","4877"
"افرني","Iferni","4873"
"سيدي يحيى أيوسف","Sidi Yahia Ou Youssef","4873"
"النزالة","En-Nzala","4873"
"تيمولاي","Timoulay","4873"
"بني عبد الله","Bni Abdellah","4866"
"فم الحصن","Fam El Hisn","4865"
"رحالة","Rahhala","4859"
"تغازوت","Taghazout","4854"
"الرافعية","Errafiaya","4832"
"إمكراد","Imgrade","4815"
"عكرمة","Akarma","4795"
"اوكايمدن","Oukaimden","4790"
"امكدال","Imgdal","4782"
"سيدي منصور","Sidi Mansour","4766"
"سيدي احساين أو علي","Sidi H'saine Ou Ali","4762"
"اعرب صباح اغريس","Aarab Sebbah Gheris","4758"
"آيت بوداود","Ait Boudaoud","4757"
"شرقاوة","Charqaoua","4727"
"سيدي أحمد أومبارك","Sidi Hmad Ou M'barek","4726"
"بني حذيفة","Bni Hadifa","4718"
"املاكو","Amellagou","4706"
"آيت مايت","Ait Mait","4695"
"الزاك","Zag","4692"
"أولاد علي منصور","Oulad Ali Mansour","4683"
"آيت يول","Ait Youl","4680"
"آيت سيبرن","Ait Siberne","4676"
"إيموزار مرموشة","Imouzzer Marmoucha","4674"
"اغيل","Ighil","4666"
"تافتشنا","Taftechna","4661"
"بني يدر","Bni Idder","4659"
"أولاد غزييل","Ouled Ghziyel","4656"
"بني سمير","Bni Smir","4655"
"تزكزاوين","Tizgzaouine","4653"
"أولاد عيسى","Oulad Aissa","4652"
"عين تزيتونت","Ain Tazitounte","4645"
"تالمست","Talmest","4638"
"اقواس برييش","Aquouass Briech","4627"
"سيدي بو عبد اللي","Sidi Bouabdelli","4607"
"بين الويدان","Bin El Ouidane","4605"
"أربعاء رسموكة","Arbaa Rasmouka","4598"
"بليونش","Belyounech","4593"
"مولاي ادريس أغبال","My Driss Aghbal","4583"
"مولاي يعقوب","Moulay Yacoub","4545"
"سيدي موسى-لمهاية","Sidi Moussa Lemhaya","4540"
"أولاد عامر تزمرين","Oulad Aamer Tizmarine","4533"
"آيت بويحيى الحجامة","Ait Bouyahia El Hajjama","4491"
"آيت الرخا","Ait Erkha","4484"
"دار الشاوي","Dar Chaoui","4469"
"دبدو","Debdou","4444"
"أسايس","Assais","4437"
"لوطا","Louta","4408"
"أكنول","Aknoul","4408"
"فزنا","Fezna","4399"
"تدسي نسندالن","Tidsi-Nissendalene","4395"
"آيت بلقاسم","Ait Belkacem","4394"
"عين الصفا","Ain Sfa","4386"
"مسكالة","Meskala","4378"
"كير","Guir","4363"
"أموكر","Amouguer","4362"
"مشرع حمادي","Mechraa Hammadi","4328"
"بوخريص","Boukhrisse","4323"
"أم عزة","Oumazza","4322"
"ابليدة","Bleida","4309"
"سيدي امحمد أومرزوق","Sidi M'hamed Ou Marzouq","4306"
"تيولي","Tiouli","4302"
"تكموت","Tagmout","4297"
"اميضر","Imider","4294"
"آيت يحيى","Ait Yahya","4293"
"مستفركي","Mestferki","4266"
"بئر النصر","Bir Ennasr","4256"
"تملوكت","Tamaloukte","4240"
"أزرار","Azrar","4240"
"إدا وكوكمار","Ida Ou Gougmar","4225"
"باب بودر","Bab Boudir","4209"
"بني بتاو","Bni Bataou","4191"
"أولاد مسعود","Oulad Massaoud","4188"
"بيكودين","Bigoudine","4174"
"الردادنة أولاد مالك","Rdadna Oulad Malek","4170"
"تليت","Tlite","4166"
"سيدي بومهدي","Sidi Boumehdi","4150"
"زاوية سيدي عبد القادر","Zaouiat Sidi Abdelkader","4150"
"آيت مخلوف","Ait Makhlouf","4135"
"جبل لحبيب","Jbel Lahbib","4126"
"إيغرم","Irherm","4121"
"تاغزوت","Taghzout","4116"
"امجاو","Amejjaou","4083"
"إيموزار","Imouzzer","4083"
"الريصاني","Er-Rissani","4076"
"لعوينات","Laaouinate","4071"
"وجان","Ouijjane","4071"
"سيدي بوهرية","Sidi Bouhria","4069"
"أركانة","Argana","4065"
"امطرناغة","Mtarnagha","4056"
"سيدي غانم","Sidi Ghaneme","4050"
"سيدي احمد أو عبد الله","Sidi Ahmed Ou Abdallah","4038"
"تسكدلت","Tassegdelt","4030"
"ازلاف","Azlaf","4002"
"عين بلال","Ain Blal","3992"
"انكال","Anougal","3988"
"تكانت","Tagante","3981"
"انركي","Anergui","3975"
"أولاد امرابط","Oulad M'rabet","3951"
"أزغارنيرس","Azaghar N'irs","3947"
"بوزمور","Bouzemmour","3940"
"عين قيشر","Ain Kaicher","3900"
"تليليت","Talilit","3881"
"تبروشت","Tabaroucht","3877"
"تكوكة","Tigouga","3867"
"أربعاء آيت أحمد","Arbaa Ait Ahmed","3849"
"تنكرفا","Tangarfa","3840"
"أكديم","Agoudim","3822"
"آيت مالك","Ait Malek","3809"
"أنفك","Anfeg","3803"
"اربعاء تاوريرت","Arbaa Taourirt","3798"
"تيفرت نايت حمزة","Tiffert N'ait Hamza","3784"
"رسلان","Rislane","3783"
"تدزي","Tidzi","3770"
"تتاوت","Tataoute","3763"
"سور العز","Sour El Aaz","3755"
"آيت بن يعقوب","Ait Ben Yacoub","3743"
"أولاد بوبكر","Oulad Boubker","3701"
"ارغيوة","Rghioua","3666"
"آيت داوود","Ait Daoud","3629"
"سيدي بولنوار","Sidi Boulenouar","3600"
